date,n_images,blur_mean,brightness_mean,contrast_mean,file_size_mean
2024-11-26,963,1449.8982068593627,116.00412128325686,46.964787274258654,66542.53063343717
2024-11-27,1596,1807.0184458108772,113.64527475983277,51.70368384119861,69828.30639097745
2024-11-28,553,1280.3406744020542,117.77732251738122,45.88771244759585,64601.981916817356
2024-11-29,1393,1689.0627837061284,115.64820002482593,50.20649796326385,69595.6582914573
2024-11-30,1847,1599.275515008502,114.42693309443153,51.131403490860656,66134.72658364916
2024-12-01,1475,1556.5729284874867,113.20703430693028,51.257920827057404,66171.40813559321
2024-12-02,1594,1752.1016623617863,112.57144132492084,53.578335397067,67618.95859473024
2024-12-03,1512,1591.3729361478613,115.3978413930015,47.84858837455669,65004.650132275136
2024-12-04,1230,1573.9202895745998,115.37687943311242,49.05886512074044,67211.08617886179
2024-12-05,582,1991.4830285560633,108.72020956085309,51.677914819356914,62845.106529209625
2024-12-06,6039,4682.057250006306,107.7214093638643,58.07336050565125,79991.87315780758
2024-12-07,4644,4905.136382202359,107.80246650423088,57.82809747980136,81338.97803617571
2024-12-08,3979,5672.673922922001,108.30823072772375,60.08995319317561,81772.24729831616
2024-12-09,4697,5330.60759446792,109.58427479390467,56.222434632088344,79658.97402597402
2024-12-10,4713,2820.7572397045487,118.23089252215344,47.04817901455924,62712.55803097814
2024-12-11,3868,2353.5470485273045,118.59420031771418,46.326246293648815,58553.34927611169
2024-12-12,5629,6303.080817757459,110.61181886625197,60.29080718015561,82135.9877420501
2024-12-13,6595,6258.6406971964,110.12980248810578,60.33207425311987,82108.42774829417
2024-12-14,5526,6849.070237073094,111.0057617964798,60.87754859848381,86319.41494752081
2024-12-15,2141,1946.3425179792864,115.03173558904656,48.54710669519744,68136.51891639421
2024-12-16,2588,1337.2070287736897,115.02201729469358,46.778017470051736,51104.97217928903
2024-12-17,4154,4876.045113913876,112.6051993519283,55.4765901914513,78851.5243139143
2024-12-18,5436,6018.549621211509,111.39913632713582,57.92717507027633,82477.70419426048
2024-12-19,6607,6300.0176785785025,113.65589433418599,57.86742362092695,82314.23792946874
2024-12-20,5646,6198.71092334927,115.33761672757426,55.00560538582121,82484.36751682607
2024-12-21,4848,3685.0998166402183,111.68355970964967,54.50468549319226,72118.27392739274
2024-12-22,3895,4569.482938487845,109.16293874209285,58.015446161703515,81569.53453145058
