date,n_images,blur_mean,blur_p10,brightness_mean,contrast_mean,file_size_mean_img,n_audio,rms_dbfs_mean,rms_dbfs_p10,rms_dbfs_p90,zcr_mean,zcr_std,duration_mean,file_size_mean_aud,has_images,has_audio
2025-02-28,2789,1630.4769894843869,1104.875697385155,111.83498283212398,72.72613809207168,1673125.2839727502,5772,-54.96111538669589,-60.68173484802246,-47.09751968383789,0.028111699947546,0.0100498704245204,5.25262832062832,42738.60949410949,True,True
2025-03-01,2062,1838.352140007559,1346.8824945447004,112.80915150492514,74.07242382083152,1696173.1644034917,4606,-56.99136787013701,-60.93537521362305,-52.06976127624512,0.0310488852036074,0.007162938032322,5.246756404689535,42691.52084237951,True,True
2025-03-02,0,,,,,,3864,-58.12901551185434,-61.76219100952149,-53.65088195800781,0.0305781624515178,0.00640108372642,5.250230158730159,42718.80564182195,False,True
2025-03-03,0,,,,,,3079,-56.39950630656308,-61.33191909790039,-50.3268798828125,0.0283536029687505,0.0077939274460421,5.255508714950741,42760.979538811305,False,True
2025-03-04,2671,1634.6136864775992,1132.9006933216754,116.39484252622928,70.67359469756771,1611322.8191688503,5577,-56.03457677340837,-60.55140686035156,-50.138293457031246,0.0299841823949909,0.0075050254415463,5.250381328073635,42720.316478393404,True,True
2025-03-05,4577,591.574558709027,117.39507457372382,116.15156281198556,53.30236057586552,912164.9016823248,4524,-55.59319298842858,-59.85389595031738,-50.26092529296875,0.0347968911455871,0.0097944524159141,5.249060271146478,42709.69142351901,True,True
2025-03-06,2647,1732.4533278049505,1101.6223421326615,114.59745721388472,74.21047144398995,1625680.9792217603,5597,-56.25405641153324,-60.45998687744141,-50.981493377685545,0.0363482751533513,0.0078928117583766,5.249249002441784,42711.03305342147,True,True
2025-03-07,3060,194.0883102483408,144.98609564355064,112.09505423401312,50.52503071525914,710792.5781045752,5721,-56.20699086228444,-60.248329162597656,-51.32503890991211,0.0282093782298897,0.0062788515449265,5.249687350696265,42714.47386820486,True,True
2025-03-08,4653,856.5258073498507,184.37428032295307,110.98328126066164,61.1362313600796,1187778.9731356115,4600,-57.199205792468526,-60.9820728302002,-52.74212989807129,0.0280129964325147,0.0062061996047198,5.251766666666667,42731.05195652174,True,True
2025-03-09,4171,904.8948442369044,170.36270670365872,113.13307417315872,60.85814785203663,1178637.889474946,4124,-57.94211888290168,-61.847859191894536,-53.413970947265625,0.0305393336981441,0.0073717185281338,5.251610895570644,42729.81813773036,True,True
